old_indication;index;old_indication_normalized
"ectatic coronary artery; myocardial infarction";32317;"pci; cva"
e-cigarette use;32318;cannabis tobacco cannabis intox alcohol marijuana
"e-cig use; cardiopulmonary health";32319;"cannabis tobacco cannabis intox alcohol marijuana; mh omhd oh md gh"
"early- cancer; cardiac toxicity";32320;"bc; cardiac arrest"
"dyslipidemias; stroke; ischemic";32321;"dyslipidemia; stroke; tia"
"dyslipidemias; stat";32322;"dyslipidemia; striae"
"dyslipidemias; hypertriglyceridemia; hypercholesterolemia; hyper-ldl-cholesterolemia; hypo hdl cholesterolaemia; postmenopausal symptoms";32323;"dyslipidemia; hypertriglyceridemia; hypercholesterol; hyper-ldl-cholesterolemia; hypo hdl cholesterolaemia; symptoms"
"dyslipidemias; hyperlipoproteinemia";32324;"dyslipidemia; hyperlipoproteinemia"
"dyslipidemias; hyperlipidemias; liver transplant disorder";32325;"dyslipidemia; hyperlipidemia; mdd bd aud oud asd"
"dyslipidemias; hypercholesterolemia; familial hypercholesterolemia; ascvd; high cholesterol";32326;"dyslipidemia; hypercholesterol; hypercholesterol; ascvd; htn"
"dyslipidemias; high cholesterol; hypercholesterolemia; familial hypercholesterolemia; atherosclerotic cardiovascular disease";32327;"dyslipidemia; htn; hypercholesterol; hypercholesterol; ckd cad aki ed scd"
"dyslipidemias; high cholesterol; hypercholesterolemia; familial hypercholesterolemia";32328;"dyslipidemia; htn; hypercholesterol; hypercholesterol"
"dyslipidemias; high cholesterol; hypercholesterolemia";32329;"dyslipidemia; htn; hypercholesterol"
"dyslipidemias; familial hypercholesterolemia; hypertriglyceridemia";32330;"dyslipidemia; hypercholesterol; hypertriglyceridemia"
"dyslipidemias; atherosclerosis; cholesterol and inflammation lowering";32331;"dyslipidemia; atherosclerosis; vulvovaginal ulceration inflammation cholesterol lowering"
"dyslipidemia; severely high hypertriglyceridemia";32332;"dyslipidemia; htn"
"dyslipidemia; medovahasrotodushti";32333;"dyslipidemia; medovahasrotodushti"
"dyslipidemia; lipoprote";32334;"dyslipidemia; ldl"
"dyslipidemia; hypertension";32335;"dyslipidemia; htn"
"dyslipidemia; coronary atherosclerosis";32336;"dyslipidemia; atherosclerosis"
dyslipidemia, body fat accumulation, renal function;32337;"dyslipidemia; bc bi fba wbs bt; renal insufficiency"
dyslipidemia management;32338;"airway management am
weight management wm
difficult airway da
lary"
dyslipemia;32339;dyslipemia
dvt of lower extremity;32340;lower leg injury
duchenne myodystrophy;32341;dmd
"duchenne muscular dystrophy; muscular dystrophy in children";32342;"md; md"
drug-induced qt prolongation;32343;qt prolongation
drug-drug interaction between aspir;32344;ddi
doxorubic;32345;doxorubic
"double valve surgery; myocardial damage; ischemia";32346;"surgery; myocardial protection myocardial perfusion myocardial stunning myocardial bridge exercise-induced; ali"
"dmd-associated dilated cardiomyopathy; duchenne muscular dystrophy";32347;"icm; md"
dmd-associated dilated cardiomyopathy;32348;icm
distributed shock hypotension;32349;shock
disorders of bile acid and cholesterol metabolism;32350;teeth disorders musculoskeletal disorders edentulism eye disorders
diseases of the vasculature and circulation including the lymphatic system;32351;teeth disorders musculoskeletal disorders edentulism eye disorders
"diseases of the nervous system; prevention of spasm of the radial artery";32352;"digestive diseases; digestive diseases"
"diseases of the circulatory system; venous thromboembolism";32353;"digestive diseases; vte"
"diseases of the circulatory system; orthostatic intolerance";32354;"digestive diseases; intolerance"
"diseases of the circulatory system; hypertension";32355;"digestive diseases; htn"
"dilated cardiomyopathy; left ventricular failure; other cardiomyopathies";32356;"icm; hf rf rf lf onlf; thoracic"
"dilated cardiomyopathy; kaposi sarcoma-associated herpesvirus infection";32357;"icm; kaposi sarcoma-associated herpesvirus infection"
"dilated cardiomyopathy; cardiac failure; cardiac remodeling";32358;"icm; hf rf rf lf onlf; cardiac arrest"
"dilated cardiomyopathy (dcm); heart failure";32359;"icm; hf rf rf lf onlf"
dilated cardiomyopathy (dcm);32360;icm
dilated cardiomyopathy;32361;icm
diastolic heart failure;32362;hf rf rf lf onlf
"diastolic dysfunction; systolic dysfunction; diastolic heart failure";32363;"ed; ed; hf rf rf lf onlf"
"diastolic dysfunction; obesity; pre-diabetes";32364;"ed; obesity; diabetes"
diastolic congestive heart failure;32365;hf rf rf lf onlf
"dialysis access malfunction; recurrent stenoses";32366;"dialysis access malfunction dam
difficult intravenous access diva
access cavity designs; recurrent"
diabetic peripheral angiopathy;32367;diabetic neuropathy
diabetic patient aspir;32368;diabetic neuropathy
"diabetic nephropathies; hypertension";32369;"diabetic neuropathy; htn"
diabetic microvascular angina;32370;diabetic neuropathy
diabetic cardiomyopathy;32371;diabetic neuropathy
diabetic cardiomyopathies;32372;diabetic neuropathy
"diabetes; unstable angina; myocardial infarction";32373;"diabetes; ap; cva"
"diabetes; COVID-19-19";32374;"diabetes; covid-19"
"developmental odontogenic cysts; maxillofacial defect healing";32375;"dev disabilities; wound"
dermatopolymyositis;32376;dermatopolymyositis
"delirium; cognitive decline";32377;"delirium; mci
cognitive impairment
renal impairment
cognitive decline"
delirium after coronary artery bypass surgery;32378;cad cabg stable cad cabg bpd
delirium after cardiac surgery;32379;uro delirium
"delayed recovery from anaesthesia; euthyroid sick syndrome; cardiac surgery requiring cardiopulmonary bypass";32380;"delayed recovery from anaesthesia; rds mets cad ibs rtis; pediatric cardiac surgery"
"degenerative heart valve disease; heart valve calcification; kidney disease; calcium-phosphorus metabolism disorders";32381;"cad cabg stable cad cabg bpd; hf rf rf lf onlf; ckd cad aki ed scd; hematological disorders tmj disorders mood disorders metabolic disorders substance use disorders"
"deep venous thrombosis; pulmonary embolism";32382;"vte; ipf cf pe iim lf"
deep venous thrombosis (dvt);32383;dvt
"deep vein thrombosis; pulmonary embolism; thrombocytopenia; recurrent venous thromboembol";32384;"dvt; ipf cf pe iim lf; thrombocytopenia; vte"
"deep vein thrombosis (dvt); calf vein thrombosis";32385;"dvt; thrombosis"
deep vein thrombosis (dvt);32386;dvt
decompensated heart failure;32387;hf rf rf lf onlf
"decompensated cirrhosis of liver; acute kidney injury";32388;"liver cirrhosis healthy pancreas sedation post liver transplant passive liver congestion; ckd cad aki ed scd"
dapagliflozin;32389;dapagliflozin
"cyanotic heart disease; pulmonary hypertension; congenital heart disease; eisenmenger syndrome";32390;"ckd cad aki ed scd; htn; ckd cad aki ed scd; rds mets cad ibs rtis"
cyanotic heart disease;32391;ckd cad aki ed scd
cyanotic congenital heart disease;32392;cad cabg stable cad cabg bpd
"critically ill patients; volume status assessment";32393;"critically ill pediatric hospitalized tracheostomy cirrhotic; se rse fs ileostomy gcse"
"critically ill patients admitted in icu; peripheral venous catheterization; central venous catheteri";32394;"critically ill pediatric hospitalized tracheostomy cirrhotic; vte; vte"
"critical limb ischemia; peripheral arterial disease";32395;"critillness; ckd cad aki ed scd"
"critical limb ischemia; buergers disease";32396;"critillness; ckd cad aki ed scd"
"critical limb ischemia; acute limb ischemia";32397;"critillness; ali"
"critical care; fluid management; pulse contour analysis; automatic calculation of ai-enabled assessm";32398;"critillness; airway management am
weight management wm
difficult airway da
lary; pca; automatic calculation of ai-enabled assessm"
"cpr; bls skills; trained cpr providers";32399;"cpr; skills; cpr"
"COVID-19-19; heart failure";32400;"covid-19; hf rf rf lf onlf"
COVID-19-19 related inflammatory cardiovascular involvement;32401;covid-19 related inflammatory cardiovascular involvement
coronary vasospasm;32402;pci
"coronary vasomotor dysfunction; microcirculatory dysfunction";32403;"ed; ed"
coronary thrombosis;32404;thrombosis
"coronary syndromes; myocardial infarction";32405;"mds; cva"
"coronary syndromes; coronary arterial disease; inflammation; heart disease; myocardial infarct; atherosclerotic coronary vascular disease";32406;"mds; ckd cad aki ed scd; inflammation; ckd cad aki ed scd; myocardial protection myocardial perfusion myocardial stunning myocardial bridge exercise-induced; cad cabg stable cad cabg bpd"
coronary syndromes;32407;mds
"coronary syndrome; qi deficiency and blood stasis syndrome";32408;"rds mets cad ibs rtis; aids lkqds pqds pokyds kyd syndrome"
"coronary syndrome; other ischemic heart diseases";32409;"rds mets cad ibs rtis; digestive diseases"
"coronary syndrome; non-valvular atrial fibrillation";32410;"rds mets cad ibs rtis; afib aflut asd persistent afib vfib"
"coronary syndrome; lipid disorder; coronary artery disease";32411;"rds mets cad ibs rtis; mdd bd aud oud asd; ckd cad aki ed scd"
"coronary syndrome; left ventricular thrombus";32412;"rds mets cad ibs rtis; vt"
"coronary syndrome; kidney disease";32413;"rds mets cad ibs rtis; ckd cad aki ed scd"
"coronary syndrome; ischemic stroke";32414;"rds mets cad ibs rtis; stroke"
"coronary syndrome; ischemic heart disease; stent thrombosis";32415;"rds mets cad ibs rtis; ckd cad aki ed scd; thrombosis"
"coronary syndrome; ischemic heart disease";32416;"rds mets cad ibs rtis; ckd cad aki ed scd"
"coronary syndrome; heart failure";32417;"rds mets cad ibs rtis; hf rf rf lf onlf"
"coronary syndrome; diabetes";32418;"rds mets cad ibs rtis; diabetes"
"coronary syndrome; depression";32419;"rds mets cad ibs rtis; mdd"
"coronary syndrome; coronary syndrome";32420;"rds mets cad ibs rtis; rds mets cad ibs rtis"
"coronary syndrome; coronary artery disease; anxiety; sleep";32421;"rds mets cad ibs rtis; ckd cad aki ed scd; anxiety; osa"
"coronary syndrome; coronary artery disease";32422;"rds mets cad ibs rtis; ckd cad aki ed scd"
"coronary syndrome; chest pain";32423;"rds mets cad ibs rtis; pain"
"coronary syndrome; atrial fibrillation";32424;"rds mets cad ibs rtis; afib aflut asd persistent afib vfib"
"coronary syndrome; anxiety; depression";32425;"rds mets cad ibs rtis; anxiety; mdd"
"coronary syndrome; angina pectoris; coronary artery disease; myocardial ischemia; arteriosclerosis";32426;"rds mets cad ibs rtis; ap; ckd cad aki ed scd; ali; arteriosclerosis"
coronary syndrome;32427;rds mets cad ibs rtis
coronary spasm;32428;pci
"coronary slow flow syndrome; angina pectoris";32429;"acs; ap"
coronary slow flow syndrome;32430;acs
"coronary slow flow phenomenon; atherosclerotic heart disease; angina pectoris";32431;"coronary slow flow; ckd cad aki ed scd; ap"
"coronary slow blood flow disease; angina pectoris";32432;"cad cabg stable cad cabg bpd; ap"
coronary patients;32433;pci
"coronary microvascular dysfunction; microvascular angina; vasospasm; prinzmetal angina; coronary art";32434;"ed; ap; spasm; ap; pci"
"coronary microvascular dysfunction; coronary artery disease; coronary heart disease";32435;"ed; ckd cad aki ed scd; ckd cad aki ed scd"
coronary microvascular dysfunction;32436;ed
coronary microvascular disease;32437;ckd cad aki ed scd
coronary microvascular angina;32438;ap
coronary lesions;32439;pci
coronary intervention;32440;pci
"coronary heart diseases; prognosis after pci";32441;"hf rf rf lf onlf; pci prognosis"
coronary heart diseases;32442;hf rf rf lf onlf
"coronary heart disease; stable angina pectoris";32443;"ckd cad aki ed scd; ap"
"coronary heart disease; stable angina";32444;"ckd cad aki ed scd; ap"
"coronary heart disease; postoperative delirium";32445;"ckd cad aki ed scd; delirium"
"coronary heart disease; percutaneous coronary intervention";32446;"ckd cad aki ed scd; pci"
"coronary heart disease; nste-acs";32447;"ckd cad aki ed scd; acs"
"coronary heart disease; kidney disease; obstruction pulmonary disease; stroke";32448;"ckd cad aki ed scd; ckd cad aki ed scd; ckd cad aki ed scd; stroke"
"coronary heart disease; heart failure";32449;"ckd cad aki ed scd; hf rf rf lf onlf"
"coronary heart disease; dyslipidemias";32450;"ckd cad aki ed scd; dyslipidemia"
"coronary heart disease; diabetic nephropathy";32451;"ckd cad aki ed scd; diabetic neuropathy"
"coronary heart disease; coronary artery bypass";32452;"ckd cad aki ed scd; pci"
"coronary heart disease; contrast-associated kidney injury";32453;"ckd cad aki ed scd; ckd cad aki ed scd"
"coronary heart disease; clonal hematopoiesis of indeterminate potential chip";32454;"ckd cad aki ed scd; ccus mgus esus undetermined intent"
"coronary heart disease; atherosclerotic heart disease of native coronary artery";32455;"ckd cad aki ed scd; cad cabg stable cad cabg bpd"
"coronary heart disease; angina pectoris";32456;"ckd cad aki ed scd; ap"
"coronary heart disease; angina";32457;"ckd cad aki ed scd; ap"
coronary heart disease combined;32458;cad cabg stable cad cabg bpd
coronary heart disease;32459;ckd cad aki ed scd
coronary endarterectomy;32460;pci
coronary disease;32461;ckd cad aki ed scd
"coronary chronic total occlusions (ctos); refractory angina; stable angina";32462;"coronary chronic total occlusions (ctos); ap; ap"
coronary calcified lesions;32463;pci
coronary bifurcation lesions;32464;pci
coronary bifurcation disease;32465;ckd cad aki ed scd
coronary atherosclerotic heart disease;32466;cad cabg stable cad cabg bpd
coronary atherosclerotic cardiopathy;32467;pci
"coronary atherosclerosis; coronary artery disease; coronary heart disease; prediabetes";32468;"atherosclerosis; ckd cad aki ed scd; ckd cad aki ed scd; diabetes"
coronary atherosclerosis;32469;atherosclerosis
"coronary artery slow flow syndrome; other forms of angina pectoris";32470;"cad cabg stable cad cabg bpd; digestive diseases"
"coronary artery multi-vessel disease; left ma";32471;"cad cabg stable cad cabg bpd; left ma"
coronary artery ectasia;32472;pci
coronary artery diseases;32473;cvd msd ad pd ed
"coronary artery disease; valvular heart disease; aorta disease; heart failure";32474;"ckd cad aki ed scd; ckd cad aki ed scd; ckd cad aki ed scd; hf rf rf lf onlf"
"coronary artery disease; valvular heart disease";32475;"ckd cad aki ed scd; ckd cad aki ed scd"
"coronary artery disease; valve heart disease";32476;"ckd cad aki ed scd; ckd cad aki ed scd"
"coronary artery disease; symptomatic peripheral artery disease; coronary syndrome";32477;"ckd cad aki ed scd; cad cabg stable cad cabg bpd; rds mets cad ibs rtis"
"coronary artery disease; renal disease; kidney injury";32478;"ckd cad aki ed scd; ckd cad aki ed scd; ckd cad aki ed scd"
"coronary artery disease; refractory angina";32479;"ckd cad aki ed scd; ap"
"coronary artery disease; radial artery graft failure";32480;"ckd cad aki ed scd; cabg"
"coronary artery disease; post-pci patients with coronary heart disease";32481;"ckd cad aki ed scd; cad cabg stable cad cabg bpd"
"coronary artery disease; postoperative pain; respiratory failure";32482;"ckd cad aki ed scd; pain; hf rf rf lf onlf"
"coronary artery disease; pci";32483;"ckd cad aki ed scd; pci"
"coronary artery disease; nephropathy";32484;"ckd cad aki ed scd; iganephropathy"
"coronary artery disease; myocardial ischemia";32485;"ckd cad aki ed scd; ali"
"coronary artery disease; myocardial infarction";32486;"ckd cad aki ed scd; cva"
"coronary artery disease; left ventricular thrombosis";32487;"ckd cad aki ed scd; vt"
"coronary artery disease; left ventricular hypertrophy";32488;"ckd cad aki ed scd; vt"
"coronary artery disease; kidney disease; periprocedural myocardial injury; periprocedural myocardial infarction";32489;"ckd cad aki ed scd; ckd cad aki ed scd; tbi; cva"
"coronary artery disease; ischemic mitral regurgitation";32490;"ckd cad aki ed scd; tia"
"coronary artery disease; ischemic heart disease";32491;"ckd cad aki ed scd; ckd cad aki ed scd"
"coronary artery disease; dyslipidemias; primary prevention";32492;"ckd cad aki ed scd; dyslipidemia; pbc"
"coronary artery disease; dyslipidemias";32493;"ckd cad aki ed scd; dyslipidemia"
"coronary artery disease; coronary syndrome";32494;"ckd cad aki ed scd; rds mets cad ibs rtis"
"coronary artery disease; coronary microvascular disease";32495;"ckd cad aki ed scd; ckd cad aki ed scd"
"coronary artery disease; coronary heart disease";32496;"ckd cad aki ed scd; ckd cad aki ed scd"
"coronary artery disease; coronary atherosclerotic disease";32497;"ckd cad aki ed scd; ckd cad aki ed scd"
"coronary artery disease; cognitive impairment; heart failure";32498;"ckd cad aki ed scd; mci
cognitive impairment
renal impairment
cognitive decline; hf rf rf lf onlf"
"coronary artery disease; bleeding";32499;"ckd cad aki ed scd; bleeding"
"coronary artery disease; atrial fibrillation";32500;"ckd cad aki ed scd; afib aflut asd persistent afib vfib"
"coronary artery disease; atherosclerotic heart disease of native coronary artery";32501;"ckd cad aki ed scd; cad cabg stable cad cabg bpd"
"coronary artery disease; atherosclerosis; heart attack";32502;"ckd cad aki ed scd; atherosclerosis; hf rf rf lf onlf"
"coronary artery disease; aortic valve disease; mitral valve disease; tricuspidal valve disease";32503;"ckd cad aki ed scd; ckd cad aki ed scd; ckd cad aki ed scd; ckd cad aki ed scd"
"coronary artery disease; angina pectoris";32504;"ckd cad aki ed scd; ap"
"coronary artery disease; acute coronary syndrome";32505;"ckd cad aki ed scd; rds mets cad ibs rtis"
coronary artery disease, atherosclerosis;32506;"ckd cad aki ed scd; atherosclerosis"
coronary artery disease (cad), acute coronary syndrome (acs), scad;32507;"cad cabg stable cad cabg bpd; acs; scad"
coronary artery disease (cad);32508;cad cabg stable cad cabg bpd
coronary artery calcification, metabolic syndrome, dyslipidemias;32509;"pci; rds mets cad ibs rtis; dyslipidemia"
"coronary artery bypass; postoperative complications; edema";32510;"pci; postop complications postop postop sore throat postop recovery postop pa; edema"
"coronary artery bypass; pain";32511;"pci; pain"
"coronary artery bypass surgery; atherosclerosis of coronary artery bypass grafts";32512;"cad cabg stable cad cabg bpd; cad cabg stable cad cabg bpd"
coronary artery bypass surgery;32513;cad cabg stable cad cabg bpd
"coronary artery bypass grafting; postoperative atrial fibrillation";32514;"cad cabg stable cad cabg bpd; afib aflut asd persistent afib vfib"
"coronary artery bypass grafting (cabg); valvular surgery; combined cabg and valvular surgery";32515;"cad cabg stable cad cabg bpd; surgery; foot surgery ankle sprains anal surgery tonsil surgery shoulder surgery"
"coronary artery bypass grafting (cabg); atrial fibrillation (af)";32516;"cad cabg stable cad cabg bpd; afib aflut asd persistent afib vfib"
coronary artery bypass grafting (cabg);32517;cad cabg stable cad cabg bpd
coronary artery bypass grafting;32518;cad cabg stable cad cabg bpd
"coronary artery bypass graft; atrial fibrillation and flutter";32519;"cad cabg stable cad cabg bpd; afib aflut asd persistent afib vfib"
"coronary artery bypass graft surgery; post-operative delirium";32520;"cad cabg stable cad cabg bpd; delirium"
"coronary artery bypass graft surgery; other mechanical complication of coronary artery bypass graft";32521;"cad cabg stable cad cabg bpd; digestive diseases"
"coronary artery bypass graft surgery; health literacy; self-care behaviors";32522;"cad cabg stable cad cabg bpd; mh omhd oh md gh; behaviors"
coronary artery bypass graft surgery (cabg);32523;cad cabg stable cad cabg bpd
coronary artery bypass graft surgery;32524;cad cabg stable cad cabg bpd
coronary artery bypass graft;32525;cad cabg stable cad cabg bpd
"coronary artery bypass cardiac surgery patients; atherosclerosis of coronary artery bypass grafts without angina pectoris";32526;"cad cabg stable cad cabg bpd; ap"
coronary artery bypass;32527;pci
coronary arteries vascular diseases;32528;coronary slow flow
coronary arterial microvascular disease;32529;cad cabg stable cad cabg bpd
"coronary arterial disease; peripheral vascular disease";32530;"ckd cad aki ed scd; ckd cad aki ed scd"
"coronary arterial disease; coronary syndrome; coronary syndrome";32531;"ckd cad aki ed scd; rds mets cad ibs rtis; rds mets cad ibs rtis"
"coronary arterial disease; angina stable; microvascular circulation";32532;"ckd cad aki ed scd; ap; mv circulation"
coronary arterial disease (cad), percutaneous coronary intervention (pci);32533;"cad cabg stable cad cabg bpd; pci"
coronary arterial disease (cad);32534;cad cabg stable cad cabg bpd
coronary arterial disease;32535;ckd cad aki ed scd
coronary arteria bypass graft;32536;cabg
coronary angioplasty status;32537;se rse fs ileostomy gcse
coronary af;32538;pci
contrast-associated acute kidney injury (ca-aki);32539;aki
contrast nephropathy;32540;iganephropathy
congestive heart failure;32541;hf rf rf lf onlf
"congenital malformations of the circulatory system; fontan circulation";32542;"digestive diseases; mv circulation"
congenital malformation of great arteries;32543;craniofacial syndromes
congenital malformation of circulatory system;32544;digestive diseases
"congenital malformation of cardiac chambers and connections; congenital malformation of cardiac septum";32545;"teeth disorders musculoskeletal disorders edentulism eye disorders; craniofacial syndromes"
congenital heart malformation;32546;hf rf rf lf onlf
"congenital heart disease; thiamine deficiency; patent ductus arteriosus; ventricular septal defect; atrial septal defect";32547;"ckd cad aki ed scd; iron def; pfo; vt; afib aflut asd persistent afib vfib"
"congenital heart disease; tetralogy of fallot";32548;"ckd cad aki ed scd; qol gb disorders pulp necrosis gb calculus ureter calculus"
"congenital heart disease; single ventricle; fontan associated nephropathy";32549;"ckd cad aki ed scd; sv; iganephropathy"
"congenital heart disease; repaired tetralogy of fallot; pulmonary regurgitation";32550;"ckd cad aki ed scd; tof; ipf cf pe iim lf"
"congenital heart disease; kidney injury";32551;"ckd cad aki ed scd; ckd cad aki ed scd"
"congenital heart disease; heart failure";32552;"ckd cad aki ed scd; hf rf rf lf onlf"
"congenital heart disease; congenital heart defect; congenital heart malformations";32553;"ckd cad aki ed scd; hf rf rf lf onlf; hf rf rf lf onlf"
congenital heart disease (chd);32554;cad cabg stable cad cabg bpd
congenital heart disease;32555;ckd cad aki ed scd
"congenital familial and genetic disorders; cerebrovascular arteriovenous malformation";32556;#NOM?
congenital acynotic heart disease;32557;cad cabg stable cad cabg bpd
complications of coronary artery bypass surgery;32558;cad cabg stable cad cabg bpd
complications after permanent catheterization permcath;32559;pulm complications after lobectomy
"complete heart block; inferior wall myocardial infarction";32560;"hf rf rf lf onlf; stemimyocardialinfarction"
complete heart block;32561;hf rf rf lf onlf
compensatory liver cirrhosis;32562;cirrhosis
compensated alcohol-related cirrhosis;32563;cirrhosis
"community acquired pneumonia; atherosclerotic plaque";32564;"pneumonia; plaque"
combined systolic congestive heart failure;32565;hf rf rf lf onlf
combined systolic congestive and diastolic congestive heart failure;32566;hf rf rf lf onlf
"combined postcapillary and precapillary pulmonary hypertension; isolated postcapillary pulmonary hypertension";32567;"pah; pah"
combined hyperlipidemia;32568;hyperlipidemia
cognitive dysfunction after heart valve replacement;32569;cognitive dysfunction
"cognitive decline; ischemic stroke";32570;"mci
cognitive impairment
renal impairment
cognitive decline; stroke"
"coarctation of aorta; high blood pressure";32571;"qol gb disorders pulp necrosis gb calculus ureter calculus; htn"
"coagulation; intravascular";32572;"coagulation; dic"
coagulation;32573;coagulation
clopidogrel and ticagrelor treatment for platelet;32574;dental exam  cleaning
clinically significant portal hypertension;32575;portal hypertension
clinical ascvd or at risk for a first ascvd event;32576;high risk conditions
"ckd5; heart failure";32577;"ckd; hf rf rf lf onlf"
"cirrhosis; portal hypertension; esophageal variceal bleeding";32578;"cirrhosis; htn; bleeding"
"cirrhosis; liver cirrhosis";32579;"cirrhosis; cirrhosis"
"cirrhosis; diabetes";32580;"cirrhosis; diabetes"
"circulatory system; respiratory; septic shock; ventilator-associated pneumonia";32581;"cvd; rds mets cad ibs rtis; shock; pneumonia"
"circulatory system; mental and behavioural disorders";32582;"cvd; - mental disorders
- genetic disorders
- gum disorders
- hand disorders"
"circulatory system surgery; anaesthesia";32583;"surgery; anaesthesia"
circulatory system;32584;cvd
circulatory diseases;32585;cvd msd ad pd ed
circulatory and respiratory physiological phenomena;32586;"resp illnesses
circ resp phenomena"
"circadian rhythm sleep disorders; insomnia";32587;"circadian rhythm; insomnia"
"cied implantation; hematoma prevention";32588;"implantation; hematoma"
ci-aki;32589;aki
"chylothorax; congenital heart disease";32590;"chylothorax; ckd cad aki ed scd"
"chronic venous insufficiency; varicose veins; venous stripping; sclerotherapy";32591;"vte; vv; vte; sclerotherapy"
chronic venous insufficiency;32592;vte
chronic thromboembolic pulmonary hypertension (cteph);32593;copd
chronic severe aortic valve insufficiency;32594;aortic valve replacement
"chronic rheumatic heart diseases; combined rheumatic disorders of mitral, aortic, and tricuspid val";32595;"congenital heart diseases; male genital disorders connective tissue disorders female genital noninflammatory disorders cervix nonin; aortic stenosis; ssi"
"chronic kidney disease; renal failure; inflammation reduction; prevent cardiovascular injury in";32596;"ckd cad aki ed scd; hf rf rf lf onlf; inflammation; prevent cardiovascular injury in"
"chronic kidney disease; obesity";32597;"ckd cad aki ed scd; obesity"
"chronic kidney disease; heart risks";32598;"ckd cad aki ed scd; hf rf rf lf onlf"
"chronic kidney disease (ckd); renal insufficiency";32599;"ckd cad aki ed scd; renal insufficiency"
"chronic kidney disease (ckd); hypertension; renal insufficiency";32600;"ckd cad aki ed scd; htn; renal insufficiency"
"chronic kidney disease (ckd); heart failure";32601;"ckd cad aki ed scd; hf rf rf lf onlf"
"chronic kidney disease (ckd); essential primary hypertension";32602;"ckd cad aki ed scd; htn"
"chronic iron deficiency anemia; cardiac surgery";32603;"iron def; cardiac arrest"
chronic heart failure;32604;hf rf rf lf onlf
"chronic coronary syndrome; atherosclerotic heart disease of native coronary artery";32605;"rds mets cad ibs rtis; cad cabg stable cad cabg bpd"
cholesterol levels;32606;salivary fluoride salivary ph elevated prolactin energy testosterone
"cholesterol gallstones; gb stones";32607;"gallstones; gb stones"
cholesterol;32608;cholesterol
"chest pain; nste-acs";32609;"pain; acs"
chemotherapy-induced cardiomyopathy;32610;icm
chemotherapy induced systolic dysfunction;32611;vdd oibd sid cisod
cerebral atherosclerosis;32612;cva
cerebral arteriosclerosis;32613;cva
"central venous cannulation; ultrasound-guided cannulation; internal jugular vein cannulation";32614;"vte; iv cannulation; internal jugular vein cannulation"
central nervous system complications;32615;cns lymphoma
"cellular graft rejection; cardiac sarcoidosis; myocarditis";32616;"rejection; cardiac arrest; myocarditis"
"catheter infection; catheter malfunction; central venous occlusion";32617;"uti; dialysis access malfunction dam
difficult intravenous access diva
access cavity designs; vte"
catecholaminergic polymorphic ventricular tachycardia;32618;vt
carotid stenosis;32619;aortic stenosis
"carotid plaque; hyperlipidemia";32620;"plaque; hyperlipidemia"
"carotid plaque stabilization; regression";32621;"plaque; regression"
carotid plaque;32622;plaque
carotid endarterectomy;32623;carotid endarterectomy
carotid atherosclerotic plaque formation;32624;carotid atherosclerotic plaque formation
carotid atherosclerosis;32625;atherosclerosis
carotid artery stenosis;32626;aortic stenosis
"carotid artery injuries; vertebral artery injury";32627;"lao; tbi"
"carotid artery disease; peripheral arterial disease";32628;"ckd cad aki ed scd; ckd cad aki ed scd"
carotid artery disease;32629;ckd cad aki ed scd
carotid artery atherosclerosis;32630;atherosclerosis
cardiovascular surgery;32631;cvd msd ad pd ed
"cardiovascular risk; long-COVID-19 syndrome";32632;"cvd msd ad pd ed; rds mets cad ibs rtis"
"cardiovascular risk; kidney disease; inflammation";32633;"cvd msd ad pd ed; ckd cad aki ed scd; inflammation"
cardiovascular risk factors;32634;cvd msd ad pd ed
cardiovascular response and heart rate variability during anesthesia induction and dual-lumen endotracheal intubation;32635;anesthesia complications
cardiovascular pathology;32636;cvd msd ad pd ed
"cardiovascular infections; kidney diseases; respiratory tract infections; COVID-19 infections; sars virus; betacoronavirus";32637;"cvd msd ad pd ed; ckd cad aki ed scd; rds mets cad ibs rtis; covid-19; sars bk ebv savi zika; betacoronavirus"
cardiovascular illness;32638;cvd msd ad pd ed
"cardiovascular health; coronary heart disease; diseases of the vasculature and circulation";32639;"cvd msd ad pd ed; ckd cad aki ed scd; teeth disorders musculoskeletal disorders edentulism eye disorders"
cardiovascular health;32640;cvd msd ad pd ed
cardiovascular fitness;32641;cvd msd ad pd ed
"cardiovascular endurance; body mass index; quality of life; post menopausal women";32642;"cvd msd ad pd ed; bc bi fba wbs bt; qol gb disorders pulp necrosis gb calculus ureter calculus; symptoms"
cardiovascular emergency;32643;cvd msd ad pd ed
"cardiovascular disorders; specifically, cardiometabolic diseases with an inflammatory component";32644;"cvd msd ad pd ed; specifically; gynecologic inflammatory disorders"
cardiovascular disorder originating;32645;mdd bd aud oud asd
cardiovascular disorder;32646;mdd bd aud oud asd
"cardiovascular diseases; physical inactivity";32647;"cvd msd ad pd ed; phyactpromo"
"cardiovascular diseases; obstructive pulmonary disease";32648;"cvd msd ad pd ed; ckd cad aki ed scd"
"cardiovascular diseases; myocardial infarction";32649;"cvd msd ad pd ed; cva"
"cardiovascular diseases; laboratory test abnormal";32650;"cvd msd ad pd ed; abn bp"
"cardiovascular diseases; heart failure";32651;"cvd msd ad pd ed; hf rf rf lf onlf"
"cardiovascular diseases; diabetes";32652;"cvd msd ad pd ed; diabetes"
